intent,sentence1,sentence2,label
Set a Timer,Please time 10 minutes for me.,Start a countdown clock for 10 minutes.,0
Set a Timer,Please time 10 minutes for me.,Give me an alert after 10 minutes.,0
Set a Timer,Please time 10 minutes for me.,I want a timer set for 10 minutes.,1
Set a Timer,Please time 10 minutes for me.,Put on a countdown for 10 minutes.,0
Set a Timer,Please time 10 minutes for me.,Can you start a 10-minute stopwatch?,1
Set a Timer,Please time 10 minutes for me.,Start the timer and stop after 10 minutes.,0
Set a Timer,Please time 10 minutes for me.,Track time for 10 minutes.,0
Set a Timer,Please time 10 minutes for me.,Set an alarm for 10 minutes from now.,1
Set a Timer,Please time 10 minutes for me.,Run a stopwatch for 10 minutes.,0
Set a Timer,Please time 10 minutes for me.,Begin a 10-minute alert.,0
Set a Timer,Please time 10 minutes for me.,I need a reminder in 10 minutes.,1
Set a Timer,Please time 10 minutes for me.,Keep track of 10 minutes for me.,1
Set a Timer,Please time 10 minutes for me.,Help me count down 10 minutes.,1
Set a Timer,Please time 10 minutes for me.,Start a timer exactly for 10 minutes.,1
Set a Timer,Please time 10 minutes for me.,Let me know when 10 minutes have passed.,0
Set a Timer,Please time 10 minutes for me.,Enable a timer for 10 minutes.,1
Set a Timer,Please time 10 minutes for me.,Countdown 10 minutes for me.,1
Set a Timer,Create a 10-minute timer.,Begin a countdown for 10 minutes.,0
Set a Timer,Create a 10-minute timer.,Can you activate a timer for 10 minutes?,0
Set a Timer,Create a 10-minute timer.,Start a stopwatch for 10 minutes.,1
Set a Timer,Create a 10-minute timer.,Set a countdown for 10 minutes.,1
Set a Timer,Create a 10-minute timer.,I need a timer for 10 minutes.,1
Set a Timer,Create a 10-minute timer.,Count down from 10 minutes.,1
Set a Timer,Create a 10-minute timer.,Remind me in 10 minutes.,0
Set a Timer,Create a 10-minute timer.,Can you time me for 10 minutes?,0
Set a Timer,Create a 10-minute timer.,Turn on a timer for 10 minutes.,0
Set a Timer,Create a 10-minute timer.,Start a countdown clock for 10 minutes.,0
Set a Timer,Create a 10-minute timer.,Give me an alert after 10 minutes.,1
Set a Timer,Create a 10-minute timer.,I want a timer set for 10 minutes.,0
Set a Timer,Create a 10-minute timer.,Put on a countdown for 10 minutes.,0
Set a Timer,Create a 10-minute timer.,Can you start a 10-minute stopwatch?,0
Set a Timer,Create a 10-minute timer.,Start the timer and stop after 10 minutes.,0
Set a Timer,Create a 10-minute timer.,Track time for 10 minutes.,0
Set a Timer,Create a 10-minute timer.,Set an alarm for 10 minutes from now.,1
Set a Timer,Create a 10-minute timer.,Run a stopwatch for 10 minutes.,0
Set a Timer,Create a 10-minute timer.,Begin a 10-minute alert.,1
Set a Timer,Create a 10-minute timer.,I need a reminder in 10 minutes.,1
Set a Timer,Create a 10-minute timer.,Keep track of 10 minutes for me.,0
Set a Timer,Create a 10-minute timer.,Help me count down 10 minutes.,0
Set a Timer,Create a 10-minute timer.,Start a timer exactly for 10 minutes.,1
Set a Timer,Create a 10-minute timer.,Let me know when 10 minutes have passed.,1
Set a Timer,Create a 10-minute timer.,Enable a timer for 10 minutes.,0
Set a Timer,Create a 10-minute timer.,Countdown 10 minutes for me.,1
Set a Timer,Begin a countdown for 10 minutes.,Can you activate a timer for 10 minutes?,0
Set a Timer,Begin a countdown for 10 minutes.,Start a stopwatch for 10 minutes.,0
Set a Timer,Begin a countdown for 10 minutes.,Set a countdown for 10 minutes.,0
Set a Timer,Begin a countdown for 10 minutes.,I need a timer for 10 minutes.,0
Set a Timer,Begin a countdown for 10 minutes.,Count down from 10 minutes.,0
Set a Timer,Begin a countdown for 10 minutes.,Remind me in 10 minutes.,1
Set a Timer,Begin a countdown for 10 minutes.,Can you time me for 10 minutes?,1
Set a Timer,Begin a countdown for 10 minutes.,Turn on a timer for 10 minutes.,0
Set a Timer,Begin a countdown for 10 minutes.,Start a countdown clock for 10 minutes.,1
Set a Timer,Begin a countdown for 10 minutes.,Give me an alert after 10 minutes.,0
Set a Timer,Begin a countdown for 10 minutes.,I want a timer set for 10 minutes.,0
Set a Timer,Begin a countdown for 10 minutes.,Put on a countdown for 10 minutes.,1
Set a Timer,Begin a countdown for 10 minutes.,Can you start a 10-minute stopwatch?,1
Set a Timer,Begin a countdown for 10 minutes.,Start the timer and stop after 10 minutes.,0
Set a Timer,Begin a countdown for 10 minutes.,Track time for 10 minutes.,0
Set a Timer,Begin a countdown for 10 minutes.,Set an alarm for 10 minutes from now.,1
Set a Timer,Begin a countdown for 10 minutes.,Run a stopwatch for 10 minutes.,1
Set a Timer,Begin a countdown for 10 minutes.,Begin a 10-minute alert.,0
Set a Timer,Begin a countdown for 10 minutes.,I need a reminder in 10 minutes.,0
Set a Timer,Begin a countdown for 10 minutes.,Keep track of 10 minutes for me.,0
Set a Timer,Begin a countdown for 10 minutes.,Help me count down 10 minutes.,1
Set a Timer,Begin a countdown for 10 minutes.,Start a timer exactly for 10 minutes.,1
Set a Timer,Begin a countdown for 10 minutes.,Let me know when 10 minutes have passed.,1
Set a Timer,Begin a countdown for 10 minutes.,Enable a timer for 10 minutes.,0
Set a Timer,Begin a countdown for 10 minutes.,Countdown 10 minutes for me.,1
Set a Timer,Can you activate a timer for 10 minutes?,Start a stopwatch for 10 minutes.,0
Set a Timer,Can you activate a timer for 10 minutes?,Set a countdown for 10 minutes.,1
Set a Timer,Can you activate a timer for 10 minutes?,I need a timer for 10 minutes.,1
Set a Timer,Can you activate a timer for 10 minutes?,Count down from 10 minutes.,0
Set a Timer,Can you activate a timer for 10 minutes?,Remind me in 10 minutes.,0
Set a Timer,Can you activate a timer for 10 minutes?,Can you time me for 10 minutes?,1
Set a Timer,Can you activate a timer for 10 minutes?,Turn on a timer for 10 minutes.,0
Set a Timer,Can you activate a timer for 10 minutes?,Start a countdown clock for 10 minutes.,1
Set a Timer,Can you activate a timer for 10 minutes?,Give me an alert after 10 minutes.,0
Set a Timer,Can you activate a timer for 10 minutes?,I want a timer set for 10 minutes.,0
Set a Timer,Can you activate a timer for 10 minutes?,Put on a countdown for 10 minutes.,0
Set a Timer,Can you activate a timer for 10 minutes?,Can you start a 10-minute stopwatch?,0
Set a Timer,Can you activate a timer for 10 minutes?,Start the timer and stop after 10 minutes.,1
Set a Timer,Can you activate a timer for 10 minutes?,Track time for 10 minutes.,0
Set a Timer,Can you activate a timer for 10 minutes?,Set an alarm for 10 minutes from now.,0
Set a Timer,Can you activate a timer for 10 minutes?,Run a stopwatch for 10 minutes.,0
Set a Timer,Can you activate a timer for 10 minutes?,Begin a 10-minute alert.,0
Set a Timer,Can you activate a timer for 10 minutes?,I need a reminder in 10 minutes.,1
Set a Timer,Can you activate a timer for 10 minutes?,Keep track of 10 minutes for me.,0
Set a Timer,Can you activate a timer for 10 minutes?,Help me count down 10 minutes.,0
Set a Timer,Can you activate a timer for 10 minutes?,Start a timer exactly for 10 minutes.,1
Set a Timer,Can you activate a timer for 10 minutes?,Let me know when 10 minutes have passed.,0
Set a Timer,Can you activate a timer for 10 minutes?,Enable a timer for 10 minutes.,0
Set a Timer,Can you activate a timer for 10 minutes?,Countdown 10 minutes for me.,0
Set a Timer,Start a stopwatch for 10 minutes.,Set a countdown for 10 minutes.,1
Set a Timer,Start a stopwatch for 10 minutes.,I need a timer for 10 minutes.,1
Set a Timer,Start a stopwatch for 10 minutes.,Count down from 10 minutes.,1
Set a Timer,Start a stopwatch for 10 minutes.,Remind me in 10 minutes.,1
Set a Timer,Start a stopwatch for 10 minutes.,Can you time me for 10 minutes?,1
Set a Timer,Start a stopwatch for 10 minutes.,Turn on a timer for 10 minutes.,1
Set a Timer,Start a stopwatch for 10 minutes.,Start a countdown clock for 10 minutes.,0
Set a Timer,Start a stopwatch for 10 minutes.,Give me an alert after 10 minutes.,1
Set a Timer,Start a stopwatch for 10 minutes.,I want a timer set for 10 minutes.,1
Set a Timer,Start a stopwatch for 10 minutes.,Put on a countdown for 10 minutes.,0
Set a Timer,Start a stopwatch for 10 minutes.,Can you start a 10-minute stopwatch?,1
Set a Timer,Start a stopwatch for 10 minutes.,Start the timer and stop after 10 minutes.,0
Set a Timer,Start a stopwatch for 10 minutes.,Track time for 10 minutes.,1
Set a Timer,Start a stopwatch for 10 minutes.,Set an alarm for 10 minutes from now.,0
Set a Timer,Start a stopwatch for 10 minutes.,Run a stopwatch for 10 minutes.,0
Set a Timer,Start a stopwatch for 10 minutes.,Begin a 10-minute alert.,0
Set a Timer,Start a stopwatch for 10 minutes.,I need a reminder in 10 minutes.,1
Set a Timer,Start a stopwatch for 10 minutes.,Keep track of 10 minutes for me.,1
Set a Timer,Start a stopwatch for 10 minutes.,Help me count down 10 minutes.,0
Set a Timer,Start a stopwatch for 10 minutes.,Start a timer exactly for 10 minutes.,1
Set a Timer,Start a stopwatch for 10 minutes.,Let me know when 10 minutes have passed.,0
Set a Timer,Start a stopwatch for 10 minutes.,Enable a timer for 10 minutes.,1
Set a Timer,Start a stopwatch for 10 minutes.,Countdown 10 minutes for me.,0
Set a Timer,Set a countdown for 10 minutes.,I need a timer for 10 minutes.,1
Set a Timer,Set a countdown for 10 minutes.,Count down from 10 minutes.,1
Set a Timer,Set a countdown for 10 minutes.,Remind me in 10 minutes.,1
Set a Timer,Set a countdown for 10 minutes.,Can you time me for 10 minutes?,1
Set a Timer,Set a countdown for 10 minutes.,Turn on a timer for 10 minutes.,0
Set a Timer,Set a countdown for 10 minutes.,Start a countdown clock for 10 minutes.,1
Set a Timer,Set a countdown for 10 minutes.,Give me an alert after 10 minutes.,0
Set a Timer,Set a countdown for 10 minutes.,I want a timer set for 10 minutes.,0
Set a Timer,Set a countdown for 10 minutes.,Put on a countdown for 10 minutes.,1
Set a Timer,Set a countdown for 10 minutes.,Can you start a 10-minute stopwatch?,1
Set a Timer,Set a countdown for 10 minutes.,Start the timer and stop after 10 minutes.,0
Set a Timer,Set a countdown for 10 minutes.,Track time for 10 minutes.,1
Set a Timer,Set a countdown for 10 minutes.,Set an alarm for 10 minutes from now.,1
Set a Timer,Set a countdown for 10 minutes.,Run a stopwatch for 10 minutes.,1
Set a Timer,Set a countdown for 10 minutes.,Begin a 10-minute alert.,0
Set a Timer,Set a countdown for 10 minutes.,I need a reminder in 10 minutes.,0
Set a Timer,Set a countdown for 10 minutes.,Keep track of 10 minutes for me.,1
Set a Timer,Set a countdown for 10 minutes.,Help me count down 10 minutes.,1
Set a Timer,Set a countdown for 10 minutes.,Start a timer exactly for 10 minutes.,1
Set a Timer,Set a countdown for 10 minutes.,Let me know when 10 minutes have passed.,1
Set a Timer,Set a countdown for 10 minutes.,Enable a timer for 10 minutes.,1
Set a Timer,Set a countdown for 10 minutes.,Countdown 10 minutes for me.,1
Set a Timer,I need a timer for 10 minutes.,Count down from 10 minutes.,0
Set a Timer,I need a timer for 10 minutes.,Remind me in 10 minutes.,0
Set a Timer,I need a timer for 10 minutes.,Can you time me for 10 minutes?,0
Set a Timer,I need a timer for 10 minutes.,Turn on a timer for 10 minutes.,1
Set a Timer,I need a timer for 10 minutes.,Start a countdown clock for 10 minutes.,1
Set a Timer,I need a timer for 10 minutes.,Give me an alert after 10 minutes.,1
Set a Timer,I need a timer for 10 minutes.,I want a timer set for 10 minutes.,1
Set a Timer,I need a timer for 10 minutes.,Put on a countdown for 10 minutes.,1
Set a Timer,I need a timer for 10 minutes.,Can you start a 10-minute stopwatch?,1
Set a Timer,I need a timer for 10 minutes.,Start the timer and stop after 10 minutes.,1
Set a Timer,I need a timer for 10 minutes.,Track time for 10 minutes.,0
Set a Timer,I need a timer for 10 minutes.,Set an alarm for 10 minutes from now.,0
Set a Timer,I need a timer for 10 minutes.,Run a stopwatch for 10 minutes.,0
Set a Timer,I need a timer for 10 minutes.,Begin a 10-minute alert.,1
Set a Timer,I need a timer for 10 minutes.,I need a reminder in 10 minutes.,0
Set a Timer,I need a timer for 10 minutes.,Keep track of 10 minutes for me.,0
Set a Timer,I need a timer for 10 minutes.,Help me count down 10 minutes.,1
Set a Timer,I need a timer for 10 minutes.,Start a timer exactly for 10 minutes.,1
Set a Timer,I need a timer for 10 minutes.,Let me know when 10 minutes have passed.,1
Set a Timer,I need a timer for 10 minutes.,Enable a timer for 10 minutes.,0
Set a Timer,I need a timer for 10 minutes.,Countdown 10 minutes for me.,1
Set a Timer,Count down from 10 minutes.,Remind me in 10 minutes.,0
Set a Timer,Count down from 10 minutes.,Can you time me for 10 minutes?,1
Set a Timer,Count down from 10 minutes.,Turn on a timer for 10 minutes.,0
Set a Timer,Count down from 10 minutes.,Start a countdown clock for 10 minutes.,0
Set a Timer,Count down from 10 minutes.,Give me an alert after 10 minutes.,0
Set a Timer,Count down from 10 minutes.,I want a timer set for 10 minutes.,1
Set a Timer,Count down from 10 minutes.,Put on a countdown for 10 minutes.,0
Set a Timer,Count down from 10 minutes.,Can you start a 10-minute stopwatch?,1
Set a Timer,Count down from 10 minutes.,Start the timer and stop after 10 minutes.,0
Set a Timer,Count down from 10 minutes.,Track time for 10 minutes.,0
Set a Timer,Count down from 10 minutes.,Set an alarm for 10 minutes from now.,1
Set a Timer,Count down from 10 minutes.,Run a stopwatch for 10 minutes.,0
Set a Timer,Count down from 10 minutes.,Begin a 10-minute alert.,1
Set a Timer,Count down from 10 minutes.,I need a reminder in 10 minutes.,1
Set a Timer,Count down from 10 minutes.,Keep track of 10 minutes for me.,1
Set a Timer,Count down from 10 minutes.,Help me count down 10 minutes.,1
Set a Timer,Count down from 10 minutes.,Start a timer exactly for 10 minutes.,1
Set a Timer,Count down from 10 minutes.,Let me know when 10 minutes have passed.,1
Set a Timer,Count down from 10 minutes.,Enable a timer for 10 minutes.,1
Set a Timer,Count down from 10 minutes.,Countdown 10 minutes for me.,1
Set a Timer,Remind me in 10 minutes.,Can you time me for 10 minutes?,0
Set a Timer,Remind me in 10 minutes.,Turn on a timer for 10 minutes.,0
Set a Timer,Remind me in 10 minutes.,Start a countdown clock for 10 minutes.,1
Set a Timer,Remind me in 10 minutes.,Give me an alert after 10 minutes.,0
Set a Timer,Remind me in 10 minutes.,I want a timer set for 10 minutes.,0
Set a Timer,Remind me in 10 minutes.,Put on a countdown for 10 minutes.,0
Set a Timer,Remind me in 10 minutes.,Can you start a 10-minute stopwatch?,1
Set a Timer,Remind me in 10 minutes.,Start the timer and stop after 10 minutes.,1
Set a Timer,Remind me in 10 minutes.,Track time for 10 minutes.,0
Set a Timer,Remind me in 10 minutes.,Set an alarm for 10 minutes from now.,1
Set a Timer,Remind me in 10 minutes.,Run a stopwatch for 10 minutes.,0
Set a Timer,Remind me in 10 minutes.,Begin a 10-minute alert.,1
Set a Timer,Remind me in 10 minutes.,I need a reminder in 10 minutes.,1
Set a Timer,Remind me in 10 minutes.,Keep track of 10 minutes for me.,1
Set a Timer,Remind me in 10 minutes.,Help me count down 10 minutes.,0
Set a Timer,Remind me in 10 minutes.,Start a timer exactly for 10 minutes.,0
Set a Timer,Remind me in 10 minutes.,Let me know when 10 minutes have passed.,1
Set a Timer,Remind me in 10 minutes.,Enable a timer for 10 minutes.,0
Set a Timer,Remind me in 10 minutes.,Countdown 10 minutes for me.,1
Set a Timer,Can you time me for 10 minutes?,Turn on a timer for 10 minutes.,1
Set a Timer,Can you time me for 10 minutes?,Start a countdown clock for 10 minutes.,0
Set a Timer,Can you time me for 10 minutes?,Give me an alert after 10 minutes.,0
Set a Timer,Can you time me for 10 minutes?,I want a timer set for 10 minutes.,0
Set a Timer,Can you time me for 10 minutes?,Put on a countdown for 10 minutes.,1
Set a Timer,Can you time me for 10 minutes?,Can you start a 10-minute stopwatch?,0
Set a Timer,Can you time me for 10 minutes?,Start the timer and stop after 10 minutes.,1
Set a Timer,Can you time me for 10 minutes?,Track time for 10 minutes.,0
Set a Timer,Can you time me for 10 minutes?,Set an alarm for 10 minutes from now.,0
Set a Timer,Can you time me for 10 minutes?,Run a stopwatch for 10 minutes.,0
Set a Timer,Can you time me for 10 minutes?,Begin a 10-minute alert.,0
Set a Timer,Can you time me for 10 minutes?,I need a reminder in 10 minutes.,1
Set a Timer,Can you time me for 10 minutes?,Keep track of 10 minutes for me.,1
Set a Timer,Can you time me for 10 minutes?,Help me count down 10 minutes.,1
Set a Timer,Can you time me for 10 minutes?,Start a timer exactly for 10 minutes.,1
Set a Timer,Can you time me for 10 minutes?,Let me know when 10 minutes have passed.,1
Set a Timer,Can you time me for 10 minutes?,Enable a timer for 10 minutes.,1
Set a Timer,Can you time me for 10 minutes?,Countdown 10 minutes for me.,1
Set a Timer,Turn on a timer for 10 minutes.,Start a countdown clock for 10 minutes.,1
Set a Timer,Turn on a timer for 10 minutes.,Give me an alert after 10 minutes.,0
Set a Timer,Turn on a timer for 10 minutes.,I want a timer set for 10 minutes.,1
Set a Timer,Turn on a timer for 10 minutes.,Put on a countdown for 10 minutes.,1
Set a Timer,Turn on a timer for 10 minutes.,Can you start a 10-minute stopwatch?,0
Set a Timer,Turn on a timer for 10 minutes.,Start the timer and stop after 10 minutes.,1
Set a Timer,Turn on a timer for 10 minutes.,Track time for 10 minutes.,0
Set a Timer,Turn on a timer for 10 minutes.,Set an alarm for 10 minutes from now.,1
Set a Timer,Turn on a timer for 10 minutes.,Run a stopwatch for 10 minutes.,0
Set a Timer,Turn on a timer for 10 minutes.,Begin a 10-minute alert.,0
Set a Timer,Turn on a timer for 10 minutes.,I need a reminder in 10 minutes.,1
Set a Timer,Turn on a timer for 10 minutes.,Keep track of 10 minutes for me.,0
Set a Timer,Turn on a timer for 10 minutes.,Help me count down 10 minutes.,0
Set a Timer,Turn on a timer for 10 minutes.,Start a timer exactly for 10 minutes.,1
Set a Timer,Turn on a timer for 10 minutes.,Let me know when 10 minutes have passed.,1
Set a Timer,Turn on a timer for 10 minutes.,Enable a timer for 10 minutes.,1
Set a Timer,Turn on a timer for 10 minutes.,Countdown 10 minutes for me.,0
Set a Timer,Start a countdown clock for 10 minutes.,Give me an alert after 10 minutes.,1
Set a Timer,Start a countdown clock for 10 minutes.,I want a timer set for 10 minutes.,1
Set a Timer,Start a countdown clock for 10 minutes.,Put on a countdown for 10 minutes.,0
Set a Timer,Start a countdown clock for 10 minutes.,Can you start a 10-minute stopwatch?,0
Set a Timer,Start a countdown clock for 10 minutes.,Start the timer and stop after 10 minutes.,0
Set a Timer,Start a countdown clock for 10 minutes.,Track time for 10 minutes.,1
Set a Timer,Start a countdown clock for 10 minutes.,Set an alarm for 10 minutes from now.,1
Set a Timer,Start a countdown clock for 10 minutes.,Run a stopwatch for 10 minutes.,0
Set a Timer,Start a countdown clock for 10 minutes.,Begin a 10-minute alert.,1
Set a Timer,Start a countdown clock for 10 minutes.,I need a reminder in 10 minutes.,1
Set a Timer,Start a countdown clock for 10 minutes.,Keep track of 10 minutes for me.,1
Set a Timer,Start a countdown clock for 10 minutes.,Help me count down 10 minutes.,0
Set a Timer,Start a countdown clock for 10 minutes.,Start a timer exactly for 10 minutes.,0
Set a Timer,Start a countdown clock for 10 minutes.,Let me know when 10 minutes have passed.,0
Set a Timer,Start a countdown clock for 10 minutes.,Enable a timer for 10 minutes.,1
Set a Timer,Start a countdown clock for 10 minutes.,Countdown 10 minutes for me.,1
Set a Timer,Give me an alert after 10 minutes.,I want a timer set for 10 minutes.,0
Set a Timer,Give me an alert after 10 minutes.,Put on a countdown for 10 minutes.,1
Set a Timer,Give me an alert after 10 minutes.,Can you start a 10-minute stopwatch?,1
Set a Timer,Give me an alert after 10 minutes.,Start the timer and stop after 10 minutes.,0
Set a Timer,Give me an alert after 10 minutes.,Track time for 10 minutes.,0
Set a Timer,Give me an alert after 10 minutes.,Set an alarm for 10 minutes from now.,0
Set a Timer,Give me an alert after 10 minutes.,Run a stopwatch for 10 minutes.,1
Set a Timer,Give me an alert after 10 minutes.,Begin a 10-minute alert.,0
Set a Timer,Give me an alert after 10 minutes.,I need a reminder in 10 minutes.,1
Set a Timer,Give me an alert after 10 minutes.,Keep track of 10 minutes for me.,0
Set a Timer,Give me an alert after 10 minutes.,Help me count down 10 minutes.,1
Set a Timer,Give me an alert after 10 minutes.,Start a timer exactly for 10 minutes.,1
Set a Timer,Give me an alert after 10 minutes.,Let me know when 10 minutes have passed.,1
Set a Timer,Give me an alert after 10 minutes.,Enable a timer for 10 minutes.,0
Set a Timer,Give me an alert after 10 minutes.,Countdown 10 minutes for me.,0
Set a Timer,I want a timer set for 10 minutes.,Put on a countdown for 10 minutes.,0
Set a Timer,I want a timer set for 10 minutes.,Can you start a 10-minute stopwatch?,0
Set a Timer,I want a timer set for 10 minutes.,Start the timer and stop after 10 minutes.,0
Set a Timer,I want a timer set for 10 minutes.,Track time for 10 minutes.,0
Set a Timer,I want a timer set for 10 minutes.,Set an alarm for 10 minutes from now.,1
Set a Timer,I want a timer set for 10 minutes.,Run a stopwatch for 10 minutes.,0
Set a Timer,I want a timer set for 10 minutes.,Begin a 10-minute alert.,1
Set a Timer,I want a timer set for 10 minutes.,I need a reminder in 10 minutes.,0
Set a Timer,I want a timer set for 10 minutes.,Keep track of 10 minutes for me.,1
Set a Timer,I want a timer set for 10 minutes.,Help me count down 10 minutes.,0
Set a Timer,I want a timer set for 10 minutes.,Start a timer exactly for 10 minutes.,0
Set a Timer,I want a timer set for 10 minutes.,Let me know when 10 minutes have passed.,1
Set a Timer,I want a timer set for 10 minutes.,Enable a timer for 10 minutes.,0
Set a Timer,I want a timer set for 10 minutes.,Countdown 10 minutes for me.,1
Set a Timer,Put on a countdown for 10 minutes.,Can you start a 10-minute stopwatch?,0
Set a Timer,Put on a countdown for 10 minutes.,Start the timer and stop after 10 minutes.,1
Set a Timer,Put on a countdown for 10 minutes.,Track time for 10 minutes.,0
Set a Timer,Put on a countdown for 10 minutes.,Set an alarm for 10 minutes from now.,0
Set a Timer,Put on a countdown for 10 minutes.,Run a stopwatch for 10 minutes.,0
Set a Timer,Put on a countdown for 10 minutes.,Begin a 10-minute alert.,1
Set a Timer,Put on a countdown for 10 minutes.,I need a reminder in 10 minutes.,0
Set a Timer,Put on a countdown for 10 minutes.,Keep track of 10 minutes for me.,0
Set a Timer,Put on a countdown for 10 minutes.,Help me count down 10 minutes.,1
Set a Timer,Put on a countdown for 10 minutes.,Start a timer exactly for 10 minutes.,1
Set a Timer,Put on a countdown for 10 minutes.,Let me know when 10 minutes have passed.,0
Set a Timer,Put on a countdown for 10 minutes.,Enable a timer for 10 minutes.,0
Set a Timer,Put on a countdown for 10 minutes.,Countdown 10 minutes for me.,0
Set a Timer,Can you start a 10-minute stopwatch?,Start the timer and stop after 10 minutes.,0
Set a Timer,Can you start a 10-minute stopwatch?,Track time for 10 minutes.,1
Set a Timer,Can you start a 10-minute stopwatch?,Set an alarm for 10 minutes from now.,0
Set a Timer,Can you start a 10-minute stopwatch?,Run a stopwatch for 10 minutes.,0
